BUPR_LECZinSum,County,State,CountyStat,FIPS_5digi
34105.0,Louisiana,22,St. Martin Parish,22099
16.0,Louisiana,22,St. Mary Parish,22101
73856.0,Louisiana,22,St. Tammany Parish,22103
17525.0,Louisiana,22,Tangipahoa Parish,22105
191.0,Louisiana,22,Terrebonne Parish,22109
365.0,Louisiana,22,Vermilion Parish,22113
2221.0,Louisiana,22,West Baton Rouge Parish,22121
17830.0,Texas,48,Aransas County,48007
56747.0,Texas,48,Brazoria County,48039
16252.0,Texas,48,Calhoun County,48057
65720.0,Texas,48,Cameron County,48061
3306.0,Texas,48,Chambers County,48071
191018.0,Texas,48,Galveston County,48167
1551.0,Texas,48,Hardin County,48199
69227.0,Texas,48,Harris County,48201
1030.0,Texas,48,Jackson County,48239
194.0,Texas,48,Jasper County,48241
110594.0,Texas,48,Jefferson County,48245
4.0,Texas,48,Kenedy County,48261
441.0,Texas,48,Kleberg County,48273
1359.0,Texas,48,Liberty County,48291
8516.0,Texas,48,Matagorda County,48321
172.0,Texas,48,Newton County,48351
79779.0,Texas,48,Nueces County,48355
57434.0,Texas,48,Orange County,48361
936.0,Texas,48,Refugio County,48391
3763.0,Texas,48,San Patricio County,48409
47.0,Texas,48,Victoria County,48469
1468.0,Texas,48,Willacy County,48489
